,attribute,type,missing_or_unknown
0,AGER_TYP,categorical,"-1, 0"
1,ALTERSKATEGORIE_GROB,ordinal,"-1, 0, 9"
2,ANREDE_KZ,categorical,"-1, 0"
3,CJT_GESAMTTYP,categorical,0
4,FINANZ_MINIMALIST,ordinal,-1
5,FINANZ_SPARER,ordinal,-1
6,FINANZ_VORSORGER,ordinal,-1
7,FINANZ_ANLEGER,ordinal,-1
8,FINANZ_UNAUFFAELLIGER,ordinal,-1
9,FINANZ_HAUSBAUER,ordinal,-1
10,FINANZTYP,categorical,-1
11,GEBURTSJAHR,numeric,0
12,GFK_URLAUBERTYP,categorical,
13,GREEN_AVANTGARDE,categorical,
14,HEALTH_TYP,ordinal,"-1, 0"
15,LP_LEBENSPHASE_FEIN,mixed,0
16,LP_LEBENSPHASE_GROB,mixed,0
17,LP_FAMILIE_FEIN,categorical,0
18,LP_FAMILIE_GROB,categorical,0
19,LP_STATUS_FEIN,categorical,0
20,LP_STATUS_GROB,categorical,0
21,NATIONALITAET_KZ,categorical,"-1, 0"
22,PRAEGENDE_JUGENDJAHRE,mixed,"-1, 0"
23,RETOURTYP_BK_S,ordinal,0
24,SEMIO_SOZ,ordinal,"-1, 9"
25,SEMIO_FAM,ordinal,"-1, 9"
26,SEMIO_REL,ordinal,"-1, 9"
27,SEMIO_MAT,ordinal,"-1, 9"
28,SEMIO_VERT,ordinal,"-1, 9"
29,SEMIO_LUST,ordinal,"-1, 9"
30,SEMIO_ERL,ordinal,"-1, 9"
31,SEMIO_KULT,ordinal,"-1, 9"
32,SEMIO_RAT,ordinal,"-1, 9"
33,SEMIO_KRIT,ordinal,"-1, 9"
34,SEMIO_DOM,ordinal,"-1, 9"
35,SEMIO_KAEM,ordinal,"-1, 9"
36,SEMIO_PFLICHT,ordinal,"-1, 9"
37,SEMIO_TRADV,ordinal,"-1, 9"
38,SHOPPER_TYP,categorical,-1
39,SOHO_KZ,categorical,-1
40,TITEL_KZ,categorical,"-1, 0"
41,VERS_TYP,categorical,-1
42,ZABEOTYP,categorical,"-1, 9"
43,ALTER_HH,interval,0
44,ANZ_PERSONEN,numeric,
45,ANZ_TITEL,numeric,
46,HH_EINKOMMEN_SCORE,ordinal,"-1, 0"
47,KK_KUNDENTYP,categorical,-1
48,W_KEIT_KIND_HH,ordinal,"-1, 0"
49,WOHNDAUER_2008,ordinal,"-1, 0"
50,ANZ_HAUSHALTE_AKTIV,numeric,0
51,ANZ_HH_TITEL,numeric,
52,GEBAEUDETYP,categorical,"-1, 0"
53,KONSUMNAEHE,ordinal,
54,MIN_GEBAEUDEJAHR,numeric,0
55,OST_WEST_KZ,categorical,-1
56,WOHNLAGE,mixed,-1
57,CAMEO_DEUG_2015,categorical,-1
58,CAMEO_DEU_2015,categorical,
59,CAMEO_INTL_2015,mixed,-1
60,KBA05_ANTG1,ordinal,-1
61,KBA05_ANTG2,ordinal,-1
62,KBA05_ANTG3,ordinal,-1
63,KBA05_ANTG4,ordinal,-1
64,KBA05_BAUMAX,mixed,"-1, 0"
65,KBA05_GBZ,ordinal,"-1, 0"
66,BALLRAUM,ordinal,-1
67,EWDICHTE,ordinal,-1
68,INNENSTADT,ordinal,-1
69,GEBAEUDETYP_RASTER,ordinal,
70,KKK,ordinal,"-1, 0"
71,MOBI_REGIO,ordinal,
72,ONLINE_AFFINITAET,ordinal,
73,REGIOTYP,ordinal,"-1, 0"
74,KBA13_ANZAHL_PKW,numeric,
75,PLZ8_ANTG1,ordinal,-1
76,PLZ8_ANTG2,ordinal,-1
77,PLZ8_ANTG3,ordinal,-1
78,PLZ8_ANTG4,ordinal,-1
79,PLZ8_BAUMAX,mixed,"-1, 0"
80,PLZ8_HHZ,ordinal,-1
81,PLZ8_GBZ,ordinal,-1
82,ARBEIT,ordinal,"-1, 9"
83,ORTSGR_KLS9,ordinal,"-1, 0"
84,RELAT_AB,ordinal,"-1, 9"
85,D19_BANKEN_ANZ_12,ordinal,0
86,D19_BANKEN_ANZ_24,ordinal,0
87,D19_GESAMT_ANZ_12,ordinal,0
88,D19_GESAMT_ANZ_24,ordinal,0
89,D19_TELKO_ANZ_12,ordinal,0
90,D19_TELKO_ANZ_24,ordinal,0
91,D19_VERSAND_ANZ_12,ordinal,0
92,D19_VERSAND_ANZ_24,ordinal,0
93,D19_VERSI_ANZ_12,ordinal,0
94,D19_VERSI_ANZ_24,ordinal,0
95,KBA05_ALTER1,ordinal,"-1, 9"
96,KBA05_ALTER2,ordinal,"-1, 9"
97,KBA05_ALTER3,ordinal,"-1, 9"
98,KBA05_ALTER4,ordinal,"-1, 9"
99,KBA05_ANHANG,ordinal,"-1, 9"
100,KBA05_CCM1,ordinal,"-1, 9"
101,KBA05_CCM2,ordinal,"-1, 9"
102,KBA05_CCM3,ordinal,"-1, 9"
103,KBA05_CCM4,ordinal,"-1, 9"
104,KBA05_DIESEL,ordinal,"-1, 9"
105,KBA05_FRAU,ordinal,"-1, 9"
106,KBA05_HERST1,ordinal,"-1, 9"
107,KBA05_HERST2,ordinal,"-1, 9"
108,KBA05_HERST3,ordinal,"-1, 9"
109,KBA05_HERST4,ordinal,"-1, 9"
110,KBA05_HERST5,ordinal,"-1, 9"
111,KBA05_HERSTTEMP,ordinal,"-1, 9"
112,KBA05_KRSAQUOT,ordinal,"-1, 9"
113,KBA05_KRSHERST1,ordinal,"-1, 9"
114,KBA05_KRSHERST2,ordinal,"-1, 9"
115,KBA05_KRSHERST3,ordinal,"-1, 9"
116,KBA05_KRSKLEIN,ordinal,"-1, 9"
117,KBA05_KRSOBER,ordinal,"-1, 9"
118,KBA05_KRSVAN,ordinal,"-1, 9"
119,KBA05_KRSZUL,ordinal,"-1, 9"
120,KBA05_KW1,ordinal,"-1, 9"
121,KBA05_KW2,ordinal,"-1, 9"
122,KBA05_KW3,ordinal,"-1, 9"
123,KBA05_MAXAH,ordinal,"-1, 9"
124,KBA05_MAXBJ,ordinal,"-1, 9"
125,KBA05_MAXHERST,ordinal,"-1, 9"
126,KBA05_MAXSEG,ordinal,"-1, 9"
127,KBA05_MAXVORB,ordinal,"-1, 9"
128,KBA05_MOD1,ordinal,"-1, 9"
129,KBA05_MOD2,ordinal,"-1, 9"
130,KBA05_MOD3,ordinal,"-1, 9"
131,KBA05_MOD4,ordinal,"-1, 9"
132,KBA05_MOD8,ordinal,"-1, 9"
133,KBA05_MODTEMP,ordinal,"-1, 9"
134,KBA05_MOTOR,ordinal,"-1, 9"
135,KBA05_MOTRAD,ordinal,"-1, 9"
136,KBA05_SEG1,ordinal,"-1, 9"
137,KBA05_SEG10,ordinal,"-1, 9"
138,KBA05_SEG2,ordinal,"-1, 9"
139,KBA05_SEG3,ordinal,"-1, 9"
140,KBA05_SEG4,ordinal,"-1, 9"
141,KBA05_SEG5,ordinal,"-1, 9"
142,KBA05_SEG6,ordinal,"-1, 9"
143,KBA05_SEG7,ordinal,"-1, 9"
144,KBA05_SEG8,ordinal,"-1, 9"
145,KBA05_SEG9,ordinal,"-1, 9"
146,KBA05_VORB0,ordinal,"-1, 9"
147,KBA05_VORB1,ordinal,"-1, 9"
148,KBA05_VORB2,ordinal,"-1, 9"
149,KBA05_ZUL1,ordinal,"-1, 9"
150,KBA05_ZUL2,ordinal,"-1, 9"
151,KBA05_ZUL3,ordinal,"-1, 9"
152,KBA05_ZUL4,ordinal,"-1, 9"
153,KBA13_ALTERHALTER_30,ordinal,-1
154,KBA13_ALTERHALTER_45,ordinal,-1
155,KBA13_ALTERHALTER_60,ordinal,-1
156,KBA13_ALTERHALTER_61,ordinal,-1
157,KBA13_AUDI,ordinal,-1
158,KBA13_AUTOQUOTE,ordinal,-1
159,KBA13_BJ_1999,ordinal,-1
160,KBA13_BJ_2000,ordinal,-1
161,KBA13_BJ_2004,ordinal,-1
162,KBA13_BJ_2006,ordinal,-1
163,KBA13_BJ_2008,ordinal,-1
164,KBA13_BJ_2009,ordinal,-1
165,KBA13_BMW,ordinal,-1
166,KBA13_CCM_1000,ordinal,-1
167,KBA13_CCM_1200,ordinal,-1
168,KBA13_CCM_1400,ordinal,-1
169,KBA13_CCM_0_1400,ordinal,-1
170,KBA13_CCM_1500,ordinal,-1
171,KBA13_CCM_1600,ordinal,-1
172,KBA13_CCM_1800,ordinal,-1
173,KBA13_CCM_2000,ordinal,-1
174,KBA13_CCM_2500,ordinal,-1
175,KBA13_CCM_2501,ordinal,-1
176,KBA13_CCM_3000,ordinal,-1
177,KBA13_CCM_3001,ordinal,-1
178,KBA13_FAB_ASIEN,ordinal,-1
179,KBA13_FAB_SONSTIGE,ordinal,-1
180,KBA13_FIAT,ordinal,-1
181,KBA13_FORD,ordinal,-1
182,KBA13_HALTER_20,ordinal,-1
183,KBA13_HALTER_25,ordinal,-1
184,KBA13_HALTER_30,ordinal,-1
185,KBA13_HALTER_35,ordinal,-1
186,KBA13_HALTER_40,ordinal,-1
187,KBA13_HALTER_45,ordinal,-1
188,KBA13_HALTER_50,ordinal,-1
189,KBA13_HALTER_55,ordinal,-1
190,KBA13_HALTER_60,ordinal,-1
191,KBA13_HALTER_65,ordinal,-1
192,KBA13_HALTER_66,ordinal,-1
193,KBA13_HERST_ASIEN,ordinal,-1
194,KBA13_HERST_AUDI_VW,ordinal,-1
195,KBA13_HERST_BMW_BENZ,ordinal,-1
196,KBA13_HERST_EUROPA,ordinal,-1
197,KBA13_HERST_FORD_OPEL,ordinal,-1
198,KBA13_HERST_SONST,ordinal,-1
199,KBA13_KMH_110,ordinal,-1
200,KBA13_KMH_140,ordinal,-1
201,KBA13_KMH_180,ordinal,-1
202,KBA13_KMH_0_140,ordinal,-1
203,KBA13_KMH_140_210,ordinal,-1
